id,year,state_name,state_code,district_name,district_code,rural_urban,level,gender,age,social_group,literacy,working_status,worker_type,occupation,population
45,2011,Gujarat,24,Patan,455,Rural,Village,Female,nan,Sc,nan,nan,nan,nan,46553
46,2011,Gujarat,24,Patan,455,Rural,Village,Female,nan,nan,nan,Worker,Main,Agricultural_Labourers,45764
47,2011,Gujarat,24,Patan,455,Rural,Village,Total,nan,nan,nan,Worker,Marg_3_6_,Total,89801
48,2011,Gujarat,24,Patan,455,Rural,Village,Female,nan,General,nan,nan,nan,nan,464913
49,2011,Gujarat,24,Patan,455,Rural,Village,Total,nan,nan,nan,Worker,Marg_0_3_,Cultivator,1221
50,2011,Gujarat,24,Patan,455,Rural,Village,Female,nan,nan,Literate,nan,nan,nan,252072
51,2011,Gujarat,24,Patan,455,Rural,Village,Male,nan,nan,nan,Worker,Marg_3_6_,Cultivator,2052
52,2011,Gujarat,24,Patan,455,Rural,Village,Total,nan,nan,Total,nan,nan,nan,1062914
53,2011,Gujarat,24,Patan,455,Rural,Village,Total,nan,nan,nan,Worker,Main,Household_Industry_Worker,2906
54,2011,Gujarat,24,Patan,455,Rural,Village,Male,nan,nan,nan,Worker,Total,Agricultural_Labourers,121681
55,2011,Gujarat,24,Patan,455,Rural,Village,Total,nan,nan,nan,Worker,Marg_0_3_,Agricultural_Labourers,5656
56,2011,Gujarat,24,Patan,455,Rural,Village,Male,nan,nan,nan,Worker,Marg_0_3_,Cultivator,425
57,2011,Gujarat,24,Patan,455,Rural,Village,Total,nan,nan,nan,Worker,Total,Household_Industry_Worker,4353
58,2011,Gujarat,24,Gandhinagar,446,Rural,Village,Total,nan,nan,Total,nan,nan,nan,792072
59,2011,Gujarat,24,Gandhinagar,446,Rural,Village,Male,nan,nan,nan,Worker,Marg_0_3_,Other,907
60,2011,Gujarat,24,Gandhinagar,446,Rural,Village,Total,nan,nan,nan,Worker,Total,Agricultural_Labourers,111263
61,2011,Gujarat,24,Gandhinagar,446,Rural,Village,Male,nan,nan,nan,Worker,Main,Household_Industry_Worker,2311
62,2011,Gujarat,24,Gandhinagar,446,Rural,Village,Female,nan,nan,nan,Worker,Marg_0_3_,Cultivator,332
63,2011,Gujarat,24,Gandhinagar,446,Rural,Village,Total,nan,nan,nan,Total,nan,nan,792072
64,2011,Gujarat,24,Gandhinagar,446,Rural,Village,Male,nan,Total,nan,nan,nan,nan,408917
65,2011,Gujarat,24,Gandhinagar,446,Rural,Village,Female,nan,nan,nan,Total,nan,nan,383155
66,2011,Gujarat,24,Gandhinagar,446,Rural,Village,Total,nan,nan,nan,Worker,Marg_3_6_,Other,20133
67,2011,Gujarat,24,Gandhinagar,446,Rural,Village,Female,nan,nan,nan,Worker,Main,Agricultural_Labourers,21079
68,2011,Gujarat,24,Gandhinagar,446,Rural,Village,Male,nan,nan,Total,nan,nan,nan,408917
69,2011,Gujarat,24,Navsari,453,Rural,Village,Total,nan,nan,nan,Worker,Marg_3_6_,Cultivator,13151
70,2011,Gujarat,24,Navsari,453,Rural,Village,Female,nan,nan,nan,Total,nan,nan,457059
71,2011,Gujarat,24,Navsari,453,Rural,Village,Female,nan,nan,nan,Worker,Marg_0_3_,Household_Industry_Worker,114
72,2011,Gujarat,24,Navsari,453,Rural,Village,Total,nan,nan,nan,Total,nan,nan,923199
73,2011,Gujarat,24,Navsari,453,Rural,Village,Total,nan,nan,nan,Worker,Marg_0_3_,Household_Industry_Worker,205
74,2011,Gujarat,24,Navsari,453,Rural,Village,Male,nan,nan,nan,Worker,Marg_0_3_,Other,894
75,2011,Gujarat,24,Navsari,453,Rural,Village,Male,nan,nan,nan,Worker,Total,Cultivator,79729
76,2011,Gujarat,24,Navsari,453,Rural,Village,Total,nan,nan,nan,Worker,Total,Cultivator,110797
77,2011,Gujarat,24,Navsari,453,Rural,Village,Female,nan,nan,nan,Worker,Marg_3_6_,Cultivator,9155
78,2011,Gujarat,24,Navsari,453,Rural,Village,Female,0_To_6_Years,nan,nan,nan,nan,nan,45267
79,2011,Gujarat,24,Navsari,453,Rural,Village,Male,nan,nan,nan,Worker,Main,Cultivator,75403
80,2011,Gujarat,24,Navsari,453,Rural,Village,Total,nan,nan,Total,nan,nan,nan,923199
81,2011,Gujarat,24,Navsari,453,Rural,Village,Total,nan,St,nan,nan,nan,nan,571812
82,2011,Gujarat,24,Navsari,453,Rural,Village,Male,nan,nan,nan,Worker,Marg_3_6_,Total,24214
83,2011,Gujarat,24,Navsari,453,Rural,Village,Total,nan,General,nan,nan,nan,nan,334039
84,2011,Ladakh,37,Leh Ladakh,9,Rural,Village,Total,nan,nan,nan,Worker,Total,Total,48381
85,2011,Ladakh,37,Leh Ladakh,9,Rural,Village,Total,0_To_6_Years,nan,nan,nan,nan,nan,9053
86,2011,Ladakh,37,Leh Ladakh,9,Rural,Village,Female,nan,nan,nan,Worker,Marg_3_6_,Household_Industry_Worker,356
87,2011,Ladakh,37,Leh Ladakh,9,Rural,Village,Female,0_To_6_Years,nan,nan,nan,nan,nan,4369
88,2011,Ladakh,37,Leh Ladakh,9,Rural,Village,Total,nan,nan,nan,Worker,Main,Other,22205
89,2011,Ladakh,37,Leh Ladakh,9,Rural,Village,Total,nan,nan,nan,Worker,Total,Agricultural_Labourers,1210
90,2011,Ladakh,37,Leh Ladakh,9,Rural,Village,Female,nan,nan,nan,Worker,Total,Other,5153
91,2011,Ladakh,37,Leh Ladakh,9,Rural,Village,Total,nan,Total,nan,nan,nan,nan,87816
92,2011,Ladakh,37,Leh Ladakh,9,Rural,Village,Male,nan,nan,nan,Worker,Total,Agricultural_Labourers,503
93,2011,Ladakh,37,Leh Ladakh,9,Rural,Village,Male,nan,nan,nan,Worker,Marg_3_6_,Cultivator,2986
94,2011,Ladakh,37,Leh Ladakh,9,Rural,Village,Female,nan,nan,nan,Worker,Main,Other,3804
95,2011,Ladakh,37,Leh Ladakh,9,Rural,Village,Male,nan,nan,nan,Worker,Marg_0_3_,Total,663
96,2011,Ladakh,37,Leh Ladakh,9,Rural,Village,Male,nan,General,nan,nan,nan,nan,12004
97,2011,Ladakh,37,Leh Ladakh,9,Rural,Village,Male,0_To_6_Years,nan,nan,nan,nan,nan,4684
98,2011,Ladakh,37,Leh Ladakh,9,Rural,Village,Total,nan,nan,nan,Worker,Marg_3_6_,Household_Industry_Worker,441
99,2011,Ladakh,37,Kargil,6,Rural,Village,Male,nan,Sc,nan,nan,nan,nan,5
100,2011,Ladakh,37,Kargil,6,Rural,Village,Total,nan,nan,Illiterate,nan,nan,nan,50470
101,2011,Ladakh,37,Kargil,6,Rural,Village,Total,nan,nan,nan,Worker,Main,Total,22831
102,2011,Ladakh,37,Kargil,6,Rural,Village,Total,nan,Sc,nan,nan,nan,nan,10
103,2011,Ladakh,37,Kargil,6,Rural,Village,Male,nan,nan,nan,Worker,Main,Cultivator,1060
104,2011,Ladakh,37,Kargil,6,Rural,Village,Female,nan,nan,nan,Worker,Marg_3_6_,Household_Industry_Worker,443
105,2011,Ladakh,37,Kargil,6,Rural,Village,Male,nan,nan,nan,Worker,Total,Agricultural_Labourers,1811
106,2011,Ladakh,37,Kargil,6,Rural,Village,Female,nan,nan,nan,Worker,Marg_0_3_,Agricultural_Labourers,521
107,2011,Ladakh,37,Kargil,6,Rural,Village,Male,nan,nan,nan,Worker,Marg_3_6_,Other,6215
108,2011,Ladakh,37,Kargil,6,Rural,Village,Total,nan,nan,nan,Worker,Main,Agricultural_Labourers,504
109,2011,Ladakh,37,Kargil,6,Rural,Village,Male,nan,nan,nan,Worker,Marg_0_3_,Other,2777
110,2011,Ladakh,37,Kargil,6,Rural,Village,Male,nan,St,nan,nan,nan,nan,56586
111,2011,Ladakh,37,Kargil,6,Rural,Village,Total,nan,nan,nan,Worker,Marg_3_6_,Household_Industry_Worker,611
2628,2011,Bihar,10,Lakhisarai,204,Rural,Village,Male,nan,St,nan,nan,nan,nan,4132
2677,2011,Bihar,10,Patna,212,Rural,Village,Male,nan,Total,nan,nan,nan,nan,1746025
2750,2011,Bihar,10,Nawada,210,Rural,Village,Total,nan,Total,nan,nan,nan,nan,2003567
2381,2011,Bihar,10,Purbi Champaran,213,Rural,Village,Female,nan,nan,Literate,nan,nan,nan,768880
2367,2011,Bihar,10,Pashchim Champaran,211,Rural,Village,Female,nan,nan,nan,Worker,Marg_3_6_,Total,236669
2368,2011,Bihar,10,Pashchim Champaran,211,Rural,Village,Female,nan,nan,nan,Worker,Total,Household_Industry_Worker,15732
2369,2011,Bihar,10,Pashchim Champaran,211,Rural,Village,Male,0_To_6_Years,nan,nan,nan,nan,nan,364155
2370,2011,Bihar,10,Pashchim Champaran,211,Rural,Village,Total,nan,nan,Total,nan,nan,nan,3541877
2371,2011,Bihar,10,Pashchim Champaran,211,Rural,Village,Female,nan,nan,nan,Non_Worker,nan,nan,1225932
2372,2011,Bihar,10,Pashchim Champaran,211,Rural,Village,Total,nan,St,nan,nan,nan,nan,245578
2373,2011,Bihar,10,Pashchim Champaran,211,Rural,Village,Total,nan,nan,nan,Worker,Marg_3_6_,Household_Industry_Worker,13282
2374,2011,Bihar,10,Pashchim Champaran,211,Rural,Village,Male,nan,nan,nan,Worker,Total,Cultivator,161566
2375,2011,Bihar,10,Pashchim Champaran,211,Rural,Village,Male,nan,nan,nan,Non_Worker,nan,nan,948867
2376,2011,Bihar,10,Pashchim Champaran,211,Rural,Village,Female,nan,General,nan,nan,nan,nan,1316933
2377,2011,Bihar,10,Purbi Champaran,213,Rural,Village,Total,nan,Sc,nan,nan,nan,nan,612980
2378,2011,Bihar,10,Purbi Champaran,213,Rural,Village,Total,nan,nan,nan,Worker,Marg_3_6_,Other,52586
2379,2011,Bihar,10,Purbi Champaran,213,Rural,Village,Male,nan,nan,nan,Worker,Main,Cultivator,234823
2380,2011,Bihar,10,Purbi Champaran,213,Rural,Village,Total,nan,nan,nan,Worker,Total,Cultivator,339273
2382,2011,Bihar,10,Purbi Champaran,213,Rural,Village,Male,nan,nan,Illiterate,nan,nan,nan,1198281
2383,2011,Bihar,10,Purbi Champaran,213,Rural,Village,Male,nan,nan,nan,Worker,Marg_0_3_,Other,4702
2384,2011,Bihar,10,Purbi Champaran,213,Rural,Village,Male,nan,Sc,nan,nan,nan,nan,320861
2385,2011,Bihar,10,Purbi Champaran,213,Rural,Village,Female,nan,nan,nan,Worker,Main,Other,28919
2386,2011,Bihar,10,Sheohar,220,Rural,Village,Total,nan,nan,nan,Worker,Marg_0_3_,Cultivator,1232
2387,2011,Bihar,10,Sheohar,220,Rural,Village,Female,nan,nan,Illiterate,nan,nan,nan,189876
2388,2011,Bihar,10,Sheohar,220,Rural,Village,Female,nan,nan,nan,Worker,Marg_3_6_,Cultivator,1815
2389,2011,Bihar,10,Sheohar,220,Rural,Village,Total,nan,nan,nan,Worker,Marg_3_6_,Other,8375
2390,2011,Bihar,10,Sheohar,220,Rural,Village,Male,nan,nan,nan,Worker,Marg_0_3_,Other,655
2391,2011,Bihar,10,Sheohar,220,Rural,Village,Female,nan,nan,nan,Worker,Marg_0_3_,Agricultural_Labourers,3856
2392,2011,Bihar,10,Sitamarhi,221,Rural,Village,Male,nan,nan,nan,Worker,Main,Household_Industry_Worker,12227
2393,2011,Bihar,10,Sitamarhi,221,Rural,Village,Female,nan,nan,nan,Worker,Main,Agricultural_Labourers,56949
2394,2011,Bihar,10,Sitamarhi,221,Rural,Village,Total,nan,Sc,nan,nan,nan,nan,388240
2395,2011,Bihar,10,Sitamarhi,221,Rural,Village,Female,nan,nan,nan,Worker,Marg_3_6_,Household_Industry_Worker,6955
2396,2011,Bihar,10,Sitamarhi,221,Rural,Village,Total,nan,nan,nan,Worker,Marg_3_6_,Household_Industry_Worker,11235
2397,2011,Bihar,10,Sitamarhi,221,Rural,Village,Male,nan,nan,nan,Worker,Marg_3_6_,Agricultural_Labourers,134488
2398,2011,Bihar,10,Sitamarhi,221,Rural,Village,Male,nan,nan,nan,Worker,Marg_0_3_,Household_Industry_Worker,1334
2399,2011,Bihar,10,Sitamarhi,221,Rural,Village,Female,nan,General,nan,nan,nan,nan,1346153
2400,2011,Bihar,10,Sitamarhi,221,Rural,Village,Male,nan,nan,Literate,nan,nan,nan,818192
2401,2011,Bihar,10,Sitamarhi,221,Rural,Village,Female,nan,nan,nan,Worker,Marg_0_3_,Total,28641
2402,2011,Bihar,10,Sitamarhi,221,Rural,Village,Female,nan,Sc,nan,nan,nan,nan,183904
2403,2011,Bihar,10,Sitamarhi,221,Rural,Village,Female,nan,nan,nan,Worker,Marg_0_3_,Agricultural_Labourers,17957
2404,2011,Bihar,10,Sitamarhi,221,Rural,Village,Female,nan,nan,nan,Worker,Total,Cultivator,33163
2405,2011,Bihar,10,Madhubani,206,Rural,Village,Female,nan,nan,nan,Worker,Total,Agricultural_Labourers,336589
2406,2011,Bihar,10,Madhubani,206,Rural,Village,Male,nan,General,nan,nan,nan,nan,1946616
2407,2011,Bihar,10,Madhubani,206,Rural,Village,Female,nan,nan,nan,Worker,Marg_0_3_,Household_Industry_Worker,4298
2408,2011,Bihar,10,Madhubani,206,Rural,Village,Total,nan,nan,nan,Worker,Marg_0_3_,Other,8404
2409,2011,Bihar,10,Madhubani,206,Rural,Village,Total,nan,nan,nan,Worker,Main,Household_Industry_Worker,29953
2410,2011,Bihar,10,Madhubani,206,Rural,Village,Female,nan,nan,nan,Worker,Total,Cultivator,106290
2411,2011,Bihar,10,Madhubani,206,Rural,Village,Male,nan,nan,nan,Worker,Marg_0_3_,Cultivator,9655
2412,2011,Bihar,10,Madhubani,206,Rural,Village,Female,nan,nan,nan,Total,nan,nan,2081597
2413,2011,Bihar,10,Madhubani,206,Rural,Village,Male,nan,nan,nan,Worker,Main,Other,130101
2414,2011,Bihar,10,Madhubani,206,Rural,Village,Total,0_To_6_Years,nan,nan,nan,nan,nan,784704
2415,2011,Bihar,10,Madhubani,206,Rural,Village,Total,nan,nan,nan,Total,nan,nan,4325884
2416,2011,Bihar,10,Madhubani,206,Rural,Village,Male,0_To_6_Years,nan,nan,nan,nan,nan,405228
2417,2011,Bihar,10,Madhubani,206,Rural,Village,Female,nan,nan,nan,Worker,Main,Other,32663
2418,2011,Bihar,10,Madhubani,206,Rural,Village,Male,nan,Total,nan,nan,nan,nan,2244287
2419,2011,Bihar,10,Supaul,223,Rural,Village,Male,nan,nan,nan,Worker,Marg_0_3_,Household_Industry_Worker,918
2420,2011,Bihar,10,Supaul,223,Rural,Village,Total,nan,nan,nan,Non_Worker,nan,nan,1275991
2421,2011,Bihar,10,Supaul,223,Rural,Village,Female,nan,nan,nan,Worker,Marg_3_6_,Cultivator,24757
2422,2011,Bihar,10,Supaul,223,Rural,Village,Total,nan,nan,nan,Worker,Main,Cultivator,140266
